wave qabs
3.192505 0.004455358544000001
3.199868 0.0044216997066666664
3.207248 0.004388493200000001
3.214645 0.004355730288000001
3.222059 0.004323404661333334
3.229491 0.004291507584
3.236939 0.004260032261333334
3.244405 0.0042289714133333335
3.251888 0.0041983177600000005
3.259388 0.004168064992000001
3.266905 0.004138205829333334
3.27444 0.004108733477333334
3.281992 0.004079642112000001
3.289562 0.004050924938666667
3.297149 0.0040225756480000005
3.304753 0.003994588416
3.312375 0.003966956933333334
3.320015 0.003939675861333334
3.327672 0.003912738890666667
3.335347 0.003886140682666667
3.34304 0.0038598758986666676
3.35075 0.003835921786666667
3.358478 0.0038306010773333345
3.366224 0.003825411893333334
3.373988 0.003820352778666667
3.38177 0.003815421792
3.38957 0.003810617962666667
3.397387 0.00380594032
3.405223 0.0038013869226666674
