Fe:-4.5000000472	Mg2SiO4:-4.8385071832	MgSiO3:-5.0423541594	Ni:-5.7800001734	CaMgSi2O6:-5.8200697459	0.051401888230372124
Fe:-4.5000000382	Mg2SiO4:-4.836245294	MgSiO3:-5.0504059452	Ni:-5.7800001388	CaMgSi2O6:-5.8157442858	0.05177517806616948
Fe:-4.5000000309	Mg2SiO4:-4.8342703921	MgSiO3:-5.0575955767	Ni:-5.7800001109	CaMgSi2O6:-5.8119843342	0.052151178867507676
Fe:-4.500000025	Mg2SiO4:-4.8325372537	MgSiO3:-5.064032264	Ni:-5.7800000885	CaMgSi2O6:-5.808697328	0.05252991016791803
Fe:-4.5000000202	Mg2SiO4:-4.8310077421	MgSiO3:-5.0698148698	Ni:-5.7800000705	CaMgSi2O6:-5.8058062335	0.052911391957002875
Fe:-4.5000000163	Mg2SiO4:-4.8296497182	MgSiO3:-5.0750318881	Ni:-5.7800000561	CaMgSi2O6:-5.8032468496	0.0532956441108683
Fe:-4.5000000132	Mg2SiO4:-4.8284361332	MgSiO3:-5.0797617096	Ni:-5.7800000446	CaMgSi2O6:-5.8009656481	0.053682686708377475
Fe:-4.5000000107	Mg2SiO4:-4.8273442684	MgSiO3:-5.0840730976	Ni:-5.7800000354	NaAlSi3O8:-5.7983937479	0.05407254017027759
Fe:-4.5000000086	Mg2SiO4:-4.8263550916	MgSiO3:-5.0880258081	Ni:-5.7800000281	NaAlSi3O8:-5.7955991556	0.05446522479541944
Fe:-4.500000007	Mg2SiO4:-4.8254527106	MgSiO3:-5.0916712994	Ni:-5.7800000222	NaAlSi3O8:-5.7931090433	0.054860761158175904
Fe:-4.5000000056	Mg2SiO4:-4.8246239063	MgSiO3:-5.0950534874	Ni:-5.7800000176	NaAlSi3O8:-5.7908747121	0.05525916997767204
Fe:-4.5000000046	Mg2SiO4:-4.8238577312	MgSiO3:-5.0982095129	Ni:-5.7800000139	NaAlSi3O8:-5.7888558604	0.05566047211820168
Fe:-4.5000000037	Mg2SiO4:-4.8231451644	MgSiO3:-5.1011704966	Ni:-5.780000011	NaAlSi3O8:-5.7870191942	0.056064688517926106
Fe:-4.500000003	Mg2SiO4:-4.8224788133	MgSiO3:-5.1039622658	Ni:-5.7800000086	NaAlSi3O8:-5.785337272	0.05647184047507042
Fe:-4.5000000025	Mg2SiO4:-4.8218526554	MgSiO3:-5.1066060397	Ni:-5.7800000068	NaAlSi3O8:-5.7837875381	0.05688194929437302
Fe:-4.500000002	Mg2SiO4:-4.8212618154	MgSiO3:-5.1091190677	Ni:-5.7800000053	NaAlSi3O8:-5.7823515103	0.05729503635270444
Fe:-4.5000000017	Mg2SiO4:-4.8207023713	MgSiO3:-5.1115152169	Ni:-5.7800000042	NaAlSi3O8:-5.7810140927	0.05771112332081835
Fe:-4.5000000014	Mg2SiO4:-4.820171188	MgSiO3:-5.1138055056	NaAlSi3O8:-5.7797629943	Ni:-5.7800000033	0.05813023194393818
Fe:-4.5000000012	Mg2SiO4:-4.8196657725	MgSiO3:-5.1159985849	NaAlSi3O8:-5.7785882365	Ni:-5.7800000026	0.058552384269235175
Fe:-4.500000001	Mg2SiO4:-4.819184151	MgSiO3:-5.1181011674	NaAlSi3O8:-5.7774817346	Ni:-5.780000002	0.058977602342494335
Fe:-4.5000000009	Mg2SiO4:-4.8187247631	MgSiO3:-5.120118406	NaAlSi3O8:-5.7764369447	Ni:-5.7800000016	0.059405908436476924
Fe:-4.5000000008	Mg2SiO4:-4.8182863721	MgSiO3:-5.1220542246	NaAlSi3O8:-5.7754485657	Ni:-5.7800000012	0.059837324895350395
Fe:-4.5000000007	Mg2SiO4:-4.8178679908	MgSiO3:-5.123911603	NaAlSi3O8:-5.7745122892	Ni:-5.780000001	0.06027187445517678
Fe:-4.5000000006	Mg2SiO4:-4.8174688183	MgSiO3:-5.1256928201	NaAlSi3O8:-5.7736245913	Ni:-5.7800000007	0.060709579765017695
Fe:-4.5000000005	Mg2SiO4:-4.8170881894	MgSiO3:-5.1273996565	NaAlSi3O8:-5.7727825601	CaMgSi2O6:-5.779899388	0.06115046370531186
Fe:-4.5000000005	Mg2SiO4:-4.8167255334	MgSiO3:-5.1290335621	NaAlSi3O8:-5.7719837547	CaMgSi2O6:-5.7792338322	0.06159454956210039
Fe:-4.5000000004	Mg2SiO4:-4.8163803417	MgSiO3:-5.1305957908	NaAlSi3O8:-5.7712260908	CaMgSi2O6:-5.7786007578	0.06204186035839188
Fe:-4.5000000004	Mg2SiO4:-4.8168067817	MgSiO3:-5.1274297148	NaAlSi3O8:-5.77050787	Ni:-5.7800000003	0.06249241960737034
Fe:-4.5000000004	Mg2SiO4:-4.8177797269	MgSiO3:-5.1210053669	NaAlSi3O8:-5.7698274188	Ni:-5.7800000002	0.06294625089512416
Fe:-4.5000000004	Mg2SiO4:-4.8184330112	MgSiO3:-5.1166134159	NaAlSi3O8:-5.7691831115	Ni:-5.7800000002	0.06340337805294931
Fe:-4.5000000004	Mg2SiO4:-4.8188395276	MgSiO3:-5.1137527119	NaAlSi3O8:-5.7685735727	Ni:-5.7800000001	0.0638638248927806
Fe:-4.5000000003	Mg2SiO4:-4.8190604999	MgSiO3:-5.1120278316	NaAlSi3O8:-5.7679974892	Ni:-5.7800000001	0.0643276155604467
Fe:-4.5000000003	Mg2SiO4:-4.8191467306	MgSiO3:-5.1111243097	NaAlSi3O8:-5.7674535882	Ni:-5.7800000001	0.06479477445457034
Fe:-4.5000000003	Mg2SiO4:-4.8191391107	MgSiO3:-5.1107956453	NaAlSi3O8:-5.7669406233	Ni:-5.7800000001	0.06526532585820653
Fe:-4.5000000003	Mg2SiO4:-4.8190692028	MgSiO3:-5.1108543699	NaAlSi3O8:-5.7664573651	Ni:-5.78	0.06573929448923066
Fe:-4.5000000003	Mg2SiO4:-4.8189603089	MgSiO3:-5.1111630105	NaAlSi3O8:-5.7660025968	Ni:-5.78	0.06621670523010595
Fe:-4.5000000003	Mg2SiO4:-4.8188289395	MgSiO3:-5.1116242552	NaAlSi3O8:-5.7655751121	Ni:-5.78	0.06669758293341657
Fe:-4.5000000003	Mg2SiO4:-4.8186863841	MgSiO3:-5.112171318	NaAlSi3O8:-5.7651737162	Ni:-5.78	0.06718195290118632
Fe:-4.5000000003	Mg2SiO4:-4.8185401257	MgSiO3:-5.1127595612	NaAlSi3O8:-5.7647972272	Ni:-5.78	0.06766984050451191
Fe:-4.5000000003	Mg2SiO4:-4.8183949787	MgSiO3:-5.113359858	NaAlSi3O8:-5.7644444789	Ni:-5.78	0.06816127117700509
Fe:-4.5000000003	Mg2SiO4:-4.8182539385	MgSiO3:-5.1139536689	NaAlSi3O8:-5.7641143236	Ni:-5.78	0.06865627071451337
Fe:-4.5000000002	Mg2SiO4:-4.8206871636	MgSiO3:-5.099587544	NaAlSi3O8:-5.7638059308	Ni:-5.78	0.06915486497697584
Fe:-4.5000000002	Mg2SiO4:-4.8223411989	MgSiO3:-5.0900756462	NaAlSi3O8:-5.7635177775	Ni:-5.78	0.06965708019585842
Fe:-4.5000000002	Mg2SiO4:-4.8233057101	MgSiO3:-5.0845709678	NaAlSi3O8:-5.7632488214	Ni:-5.78	0.07016294256223747
Fe:-4.5000000002	Mg2SiO4:-4.8238511835	MgSiO3:-5.0814270392	NaAlSi3O8:-5.762998061	Ni:-5.78	0.07067247864289021
Fe:-4.5000000002	Mg2SiO4:-4.8241439735	MgSiO3:-5.079683949	NaAlSi3O8:-5.7627645089	Ni:-5.78	0.07118571506654468
Fe:-4.5000000002	Mg2SiO4:-4.8242858092	MgSiO3:-5.0787727487	NaAlSi3O8:-5.7625472004	Ni:-5.78	0.07170267862664345
Fe:-4.5000000002	Mg2SiO4:-4.8243386186	MgSiO3:-5.078353177	NaAlSi3O8:-5.7623452003	Ni:-5.78	0.07222339650385977
Fe:-4.5000000002	Mg2SiO4:-4.8243399412	MgSiO3:-5.0782208899	NaAlSi3O8:-5.7621576056	Ni:-5.78	0.07274789594014586
Fe:-4.5000000002	Mg2SiO4:-4.824312426	MgSiO3:-5.07825307	NaAlSi3O8:-5.7619835484	Ni:-5.78	0.0732762043454211
Fe:-4.5000000002	Mg2SiO4:-4.8242696569	MgSiO3:-5.0783760434	NaAlSi3O8:-5.7618221964	Ni:-5.78	0.07380834952864714
Fe:-4.5000000002	Mg2SiO4:-4.8242197127	MgSiO3:-5.0785458256	NaAlSi3O8:-5.761672754	Ni:-5.78	0.07434435912425756
Fe:-4.5000000002	Mg2SiO4:-4.8241673388	MgSiO3:-5.0787363735	NaAlSi3O8:-5.7615344621	Ni:-5.78	0.07488426140174802
Fe:-4.5000000002	Mg2SiO4:-4.8241152681	MgSiO3:-5.0789324756	NaAlSi3O8:-5.7614065979	Ni:-5.78	0.07542808445122996
Fe:-4.5000000002	Mg2SiO4:-4.8240650233	MgSiO3:-5.0791254432	NaAlSi3O8:-5.7612884748	Ni:-5.78	0.07597585701380416
Fe:-4.5000000002	Mg2SiO4:-4.8240174035	MgSiO3:-5.0793105018	NaAlSi3O8:-5.7611794412	Ni:-5.78	0.07652760739909643
Fe:-4.5000000002	Mg2SiO4:-4.8239727785	MgSiO3:-5.0794852114	NaAlSi3O8:-5.7610788804	Ni:-5.78	0.07708336482179237
Fe:-4.5000000002	Mg2SiO4:-4.8239312568	MgSiO3:-5.0787756529	NaAlSi3O8:-5.7609861874	Ni:-5.78	0.07764315818023146
Fe:-4.5000000001	Mg2SiO4:-4.8238927937	MgSiO3:-5.0751736576	NaAlSi3O8:-5.7609007715	Ni:-5.78	0.07820701692188103
Fe:-4.5000000001	Mg2SiO4:-4.8238573493	MgSiO3:-5.0753123445	NaAlSi3O8:-5.760822268	Ni:-5.78	0.07877497054624755
Fe:-4.5000000001	Mg2SiO4:-4.823824733	MgSiO3:-5.0754401543	NaAlSi3O8:-5.7607500952	Ni:-5.78	0.0793470487270967
Fe:-4.5000000001	Mg2SiO4:-4.8237947747	MgSiO3:-5.0755576714	NaAlSi3O8:-5.7606837941	Ni:-5.78	0.0799232813109837
Fe:-4.5000000001	Mg2SiO4:-4.8237672982	MgSiO3:-5.0756655361	NaAlSi3O8:-5.7606229336	Ni:-5.78	0.08050369872074363
Fe:-4.5000000001	Mg2SiO4:-4.8237421283	MgSiO3:-5.075764403	NaAlSi3O8:-5.7605671097	Ni:-5.78	0.0810883312958492
Fe:-4.5000000001	Mg2SiO4:-4.8237190954	MgSiO3:-5.0758549166	NaAlSi3O8:-5.7605159442	Ni:-5.78	0.08167720941228829
Fe:-4.5000000001	Mg2SiO4:-4.8236980379	MgSiO3:-5.075937698	NaAlSi3O8:-5.7604690833	Ni:-5.78	0.08227036417326747
Fe:-4.5000000001	Mg2SiO4:-4.8236788028	MgSiO3:-5.0760133377	NaAlSi3O8:-5.7604261966	Ni:-5.78	0.08286782659059963
Fe:-4.5000000001	Mg2SiO4:-4.8236612468	MgSiO3:-5.0760823922	NaAlSi3O8:-5.7603869758	Ni:-5.78	0.08346962770911891
Fe:-4.5000000001	Mg2SiO4:-4.8236452358	MgSiO3:-5.0761453836	NaAlSi3O8:-5.7603511336	Ni:-5.78	0.0840757993240204
Fe:-4.5000000001	Mg2SiO4:-4.8236306448	MgSiO3:-5.0762027989	NaAlSi3O8:-5.7603184028	Ni:-5.78	0.0846863731304413
Fe:-4.5000000001	Mg2SiO4:-4.8236173579	MgSiO3:-5.0762550918	NaAlSi3O8:-5.7602885346	Ni:-5.78	0.08530138100200144
Fe:-4.5000000001	Mg2SiO4:-4.8236052674	MgSiO3:-5.0763026836	NaAlSi3O8:-5.7602612982	Ni:-5.78	0.08592085498868947
Fe:-4.5000000001	Mg2SiO4:-4.8235942733	MgSiO3:-5.0763459649	NaAlSi3O8:-5.7602364792	Ni:-5.78	0.08654482792761932
Fe:-4.5000000001	Mg2SiO4:-4.8235842835	MgSiO3:-5.0763852976	NaAlSi3O8:-5.760213879	Ni:-5.78	0.08717333223800795
Fe:-4.5000000001	Mg2SiO4:-4.8235752127	MgSiO3:-5.0764210161	NaAlSi3O8:-5.7601933136	Ni:-5.78	0.08780640082315014
Fe:-4.5000000001	Mg2SiO4:-4.823566982	MgSiO3:-5.0764534293	NaAlSi3O8:-5.7601746131	Ni:-5.78	0.08844406676934023
Fe:-4.5000000001	Mg2SiO4:-4.823559519	MgSiO3:-5.0764828222	NaAlSi3O8:-5.7601576199	Ni:-5.78	0.08908636366591531
Fe:-4.5000000001	Mg2SiO4:-4.8235527567	MgSiO3:-5.0765094574	NaAlSi3O8:-5.760142189	Ni:-5.78	0.08973332513342903
Fe:-4.5000000001	Mg2SiO4:-4.8235466336	MgSiO3:-5.0765335768	NaAlSi3O8:-5.7601281864	Ni:-5.78	0.09038498481104722
Fe:-4.5000000001	Mg2SiO4:-4.8235410931	MgSiO3:-5.0765554027	NaAlSi3O8:-5.7601154886	Ni:-5.78	0.09104137701322337
Fe:-4.5000000001	Mg2SiO4:-4.8235360832	MgSiO3:-5.0765751395	NaAlSi3O8:-5.7601039818	Ni:-5.78	0.09170253608026346
Fe:-4.5000000001	Mg2SiO4:-4.8235315562	MgSiO3:-5.0765929747	NaAlSi3O8:-5.7600935616	Ni:-5.78	0.09236849653683313
Fe:-4.5000000001	Mg2SiO4:-4.8235274684	MgSiO3:-5.0766090806	NaAlSi3O8:-5.7600841317	Ni:-5.78	0.09303929326301232
Fe:-4.5000000001	Mg2SiO4:-4.8235237797	MgSiO3:-5.0766236146	NaAlSi3O8:-5.7600756038	Ni:-5.78	0.09371496150230364
Fe:-4.5000000001	Mg2SiO4:-4.8235204534	MgSiO3:-5.0766367213	NaAlSi3O8:-5.7600678969	Ni:-5.78	0.09439553669146766
Fe:-4.5000000001	Mg2SiO4:-4.823517456	MgSiO3:-5.0766485327	NaAlSi3O8:-5.7600609366	Ni:-5.78	0.09508105409627689
Fe:-4.5000000001	Mg2SiO4:-4.8235147566	MgSiO3:-5.0766591696	NaAlSi3O8:-5.7600546549	Ni:-5.78	0.09577155006628026
Fe:-4.5	Mg2SiO4:-4.8235123275	MgSiO3:-5.0766687422	NaAlSi3O8:-5.7600489894	Ni:-5.78	0.09646706042141923
Fe:-4.5	Mg2SiO4:-4.8235101429	MgSiO3:-5.0766773511	NaAlSi3O8:-5.7600438832	Ni:-5.78	0.09716762171592393
Fe:-4.5	Mg2SiO4:-4.8235081797	MgSiO3:-5.0766850881	NaAlSi3O8:-5.7600392841	Ni:-5.78	0.09787327070000269
Fe:-4.5	Mg2SiO4:-4.8235064165	MgSiO3:-5.0766920368	NaAlSi3O8:-5.7600351445	Ni:-5.78	0.09858404412405719
Fe:-4.5	Mg2SiO4:-4.8235048341	MgSiO3:-5.0766982732	NaAlSi3O8:-5.7600314211	Ni:-5.78	0.0992999795026764
Fe:-4.5108695482	Mg2SiO4:-4.8235034148	MgSiO3:-5.0767038666	NaAlSi3O8:-5.7600280743	Ni:-5.78	0.10002111396331342
Fe:-4.5223276174	Mg2SiO4:-4.8235021428	MgSiO3:-5.0767088798	NaAlSi3O8:-5.760025068	Ni:-5.78	0.10074748540487861
Fe:-4.5373884979	Mg2SiO4:-4.818341458	MgSiO3:-5.1006045169	FeS:-5.5836064353	NaAlSi3O8:-5.7600223774	0.10147913192399864
Fe:-4.5481315135	Mg2SiO4:-4.8183404499	MgSiO3:-5.1006087647	FeS:-5.4791983115	NaAlSi3O8:-5.7600199557	0.10221609201632086
Fe:-4.5584660526	Mg2SiO4:-4.8183395483	MgSiO3:-5.1006125643	FeS:-5.399785661	NaAlSi3O8:-5.7600177847	0.10295840375485332
Fe:-4.568393701	Mg2SiO4:-4.8183387423	MgSiO3:-5.1006159605	FeS:-5.3365163658	NaAlSi3O8:-5.7600158399	0.10370610642900187
Fe:-4.5779171216	Mg2SiO4:-4.8183380225	MgSiO3:-5.1006189942	FeS:-5.2845276624	NaAlSi3O8:-5.7600140988	0.10445923890235127
Fe:-4.5870400196	Mg2SiO4:-4.8183373799	MgSiO3:-5.1006217021	FeS:-5.2408587382	NaAlSi3O8:-5.7600125411	0.10521784086258194
Fe:-4.5957670998	Mg2SiO4:-4.8183368066	MgSiO3:-5.1006241178	FeS:-5.2035719745	NaAlSi3O8:-5.7600111485	0.10598195198382722
Fe:-4.6041040147	Mg2SiO4:-4.8183362957	MgSiO3:-5.1006262711	FeS:-5.1713295631	NaAlSi3O8:-5.7600099043	0.10675161235106223
Fe:-4.6120573066	Mg2SiO4:-4.8183358405	MgSiO3:-5.1006281894	FeS:-5.1431687365	NaAlSi3O8:-5.7600087934	0.10752686179715831
Fe:-4.6196343428	Mg2SiO4:-4.8183354352	MgSiO3:-5.1006298971	FeS:-5.1183733375	NaAlSi3O8:-5.7600078022	0.10830774145813127
Fe:-4.6268432466	Mg2SiO4:-4.8183350747	FeS:-5.0963960656	MgSiO3:-5.1006314163	NaAlSi3O8:-5.7600069184	0.10909429200112233
Fe:-4.6336928236	Mg2SiO4:-4.8183347543	FeS:-5.0768091514	MgSiO3:-5.1006327669	NaAlSi3O8:-5.7600061309	0.10988655450730295
Fe:-4.6401924865	Mg2SiO4:-4.8183344695	FeS:-5.0592718319	MgSiO3:-5.1006339668	NaAlSi3O8:-5.7600054297	0.1106845707168674
Fe:-4.6463521772	Mg2SiO4:-4.8183342168	FeS:-5.0435081963	MgSiO3:-5.100635032	NaAlSi3O8:-5.7600048057	0.11148838209870367
Fe:-4.6521822894	Mg2SiO4:-4.8183339925	FeS:-5.0292916702	MgSiO3:-5.1006359772	NaAlSi3O8:-5.7600042508	0.11229803102378902
Fe:-4.6576935913	Mg2SiO4:-4.8183337937	FeS:-5.0164338871	MgSiO3:-5.1006368151	NaAlSi3O8:-5.7600037577	0.11311355982594819
Fe:-4.66289715	Mg2SiO4:-4.8183336175	FeS:-5.0047765365	MgSiO3:-5.1006375576	NaAlSi3O8:-5.7600033198	0.11393501102900717
Fe:-4.6678042578	Mg2SiO4:-4.8183334615	FeS:-4.9941852832	MgSiO3:-5.1006382149	NaAlSi3O8:-5.7600029311	0.1147624278431393
Fe:-4.6724263623	Mg2SiO4:-4.8183333046	FeS:-4.9845451552	MgSiO3:-5.1006388688	NaAlSi3O8:-5.7600025864	0.11559585342766397
Fe:-4.6767749995	Mg2SiO4:-4.818333165	FeS:-4.9757569948	MgSiO3:-5.1006394506	NaAlSi3O8:-5.760002281	0.11643533138423984
Fe:-4.6808617313	Mg2SiO4:-4.8183330417	FeS:-4.9677346922	MgSiO3:-5.1006399644	NaAlSi3O8:-5.7600020104	0.11728090602765817
Fe:-4.6846980875	Mg2SiO4:-4.8183329328	FeS:-4.9604030018	MgSiO3:-5.1006404179	NaAlSi3O8:-5.7600017709	0.11813262135600064
Fe:-4.6882955127	Mg2SiO4:-4.8183328368	FeS:-4.9536958011	MgSiO3:-5.1006408178	NaAlSi3O8:-5.760001559	0.11899052181371461
